feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,label
78.141,75.894,75.675,78.439,27.89,69.857,-672.605,-0.397,4.083,A
76.52,77.637,78.703,75.585,0.295,66.808,-689.424,-1.705,0.553,A
78.644,75.426,75.787,78.906,40.663,68.378,-899.812,-0.828,1.328,A
76.4,76.196,77.621,75.442,8.453,66.159,-716.472,-1.191,2.508,A
78.907,78.602,76.085,75.339,6.416,69.237,-84.26,-0.439,-1.487,A
77.576,76.701,75.378,75.137,18.506,69.878,-416.889,-1.495,-0.276,A
77.569,76.348,75.322,75.215,35.529,67.464,-854.103,0.668,1.074,A
77.122,77.608,76.995,76.985,25.082,69.624,-611.344,-0.693,0.049,A
77.319,77.353,75.173,77.385,39.583,66.579,-959.999,0.059,3.499,A
77.98,76.226,77.826,77.058,31.651,67.535,-506.719,-1.107,-1.103,A
77.383,76.492,78.555,76.802,21.356,69.17,-526.119,0.333,2.558,A
76.508,75.421,75.775,78.751,40.687,67.514,-978.324,-0.156,1.207,A
76.46,75.167,76.599,78.891,8.753,69.493,-779.352,-0.561,-0.286,A
77.998,77.807,75.06,76.964,24.045,68.653,-526.861,-0.031,4.192,A
77.954,77.882,75.347,77.12,46.896,68.572,-575.7,-0.283,-1.49,A
77.019,76.516,78.773,75.25,14.303,68.435,-307.231,0.372,3.378,A
79.939,76.665,76.299,78.748,17.678,66.872,-122.72,-1.333,2.786,A
77.491,78.799,78.374,76.914,21.146,69.299,-747.858,0.237,3.134,A
79.691,75.572,78.941,77.446,37.503,67.742,-507.968,-0.467,2.901,A
79.984,76.783,78.089,78.295,42.577,68.537,-986.141,-1.999,-0.085,A
76.932,78.841,78.873,77.583,38.864,66.884,-999.052,-0.941,4.528,A
79.136,75.679,78.626,75.577,3.656,69.381,-732.755,-0.87,0.177,A
79.935,75.618,75.273,78.476,4.077,66.084,-325.108,0.417,5.679,A
78.28,76.044,78.94,75.461,13.845,69.511,-948.955,-0.858,4.509,A
76.52,76.721,78.599,77.864,34.235,66.766,-895.191,0.039,-1.368,A
77.261,75.556,75.494,76.917,21.719,68.431,-67.682,0.613,3.844,A
77.513,77.625,77.568,75.063,40.678,68.864,-722.6,-0.266,3.287,A
79.509,75.534,76.354,75.144,3.3,67.602,-762.016,-1.389,-1.733,A
76.36,75.232,77.346,75.42,5.529,68.83,-818.468,0.537,-0.575,A
79.278,77.411,76.094,76.336,20.569,67.447,-620.327,-1.952,-1.18,A
79.523,75.41,77.24,78.478,37.257,69.583,-364.901,-0.232,2.375,A
76.023,75.171,75.117,78.366,47.314,69.025,-896.712,-0.05,1.014,A
78.051,76.598,77.452,77.883,25.667,66.799,-431.093,-1.977,2.728,A
77.113,76.16,75.893,76.766,10.581,68.514,-725.546,-0.528,-1.052,A
78.097,75.857,77.625,77.397,46.006,68.84,-729.167,0.148,-2.973,A
77.421,75.056,77.676,76.564,35.965,67.367,-452.541,-0.362,-0.701,A
77.766,76.999,78.667,78.449,4.662,68.7,-210.463,-1.676,-1.67,A
77.852,77.931,75.358,76.01,10.345,69.071,-466.561,0.538,-1.343,A
78.248,76.06,77.986,77.313,15.122,67.54,-779.781,-1.401,1.279,A
77.793,77.157,77.713,78.431,14.545,66.083,-658.541,0.011,-2.434,A
79.247,76.826,76.073,75.729,31.681,66.104,-225.615,-0.891,1.469,A
76.138,76.15,78.374,76.169,27.698,68.196,-864.121,-1.155,-0.639,A
79.898,77.125,77.633,77.835,35.169,68.29,-642.644,0.599,2.162,A
79.643,76.572,76.867,76.113,48.879,66.134,-75.565,-1.636,0.342,A
79.321,78.136,76.36,76.109,40.801,69.128,-214.945,0.504,1.282,A
77.032,76.107,76.407,77.327,27.059,69.937,-542.465,0.768,-0.246,A
78.887,76.433,75.655,77.033,41.434,66.687,-21.178,0.756,5.222,A
76.446,77.178,78.962,77.511,4.824,68.639,-795.267,0.15,2.142,A
79.855,76.046,76.714,76.165,14.486,69.562,-808.121,0.442,4.586,A
79.335,78.844,75.721,78.071,38.034,68.715,-147.816,0.905,-2.692,A
78.632,76.242,77.838,75.288,9.027,69.526,-159.72,-1.903,2.428,A
79.813,77.024,76.842,75.771,33.026,68.883,-166.569,-1.5,1.556,A
79.474,77.482,75.128,77.51,31.427,66.589,-244.02,0.701,-0.118,A
76.716,77.491,75.377,78.481,38.089,69.547,-821.98,0.894,3.765,A
79.33,78.489,78.301,77.774,8.258,69.713,-586.536,0.819,-0.17,A
76.563,77.443,77.883,77.68,17.363,67.511,-77.654,-0.096,0.328,A
79.302,75.427,75.748,77.531,25.546,68.191,-115.549,-0.513,5.032,A
79.12,77.755,75.38,77.166,26.46,66.324,-363.132,-1.067,-1.565,A
79.115,75.103,75.974,75.275,18.948,67.716,-964.5,-1.259,1.825,A
76.355,78.528,78.255,78.623,37.394,69.21,-496.949,-0.316,4.939,A
78.405,78.698,76.958,76.992,10.253,69.573,-280.358,0.545,-0.259,A
77.912,78.927,75.748,76.901,2.149,67.116,-783.751,-1.818,-1.619,A
78.534,77.111,76.182,78.973,34.082,67.416,-907.857,-0.171,-1.345,A
79.443,76.938,75.607,77.882,28.597,68.829,-735.916,-1.938,4.616,A
77.9,77.206,75.615,76.597,18.691,68.972,-117.116,-1.637,4.674,A
76.855,78.256,76.36,77.415,36.946,68.505,-93.485,-1.929,4.284,A
78.737,78.348,76.932,78.253,0.856,68.388,-432.812,-1.836,1.681,A
76.565,76.554,78.433,76.771,2.729,66.778,-787.65,-0.5,2.227,A
77.099,78.577,77.942,78.565,21.963,67.167,-948.325,0.453,2.213,A
76.715,76.638,75.617,76.938,26.419,67.797,-549.997,0.733,3.577,A
79.98,75.79,76.748,77.065,37.952,69.875,-946.54,-1.378,0.371,A
77.623,75.591,75.024,75.936,48.821,67.983,-963.409,-0.048,-1.467,A
77.29,78.897,78.488,77.925,4.41,68.309,-647.274,-1.64,4.791,A
77.7,75.124,76.439,77.661,45.997,67.415,-604.986,0.784,1.652,A
78.597,76.936,78.293,77.74,39.342,66.861,-999.642,-0.587,-1.248,A
77.072,75.062,75.941,77.066,47.067,68.058,-599.088,-1.123,5.642,A
77.41,78.967,75.07,78.075,11.712,67.111,-570.572,-1.195,-2.779,A
78.506,76.174,78.779,76.215,25.166,68.546,-172.704,-0.715,-0.536,A
76.493,78.124,78.272,75.411,17.583,68.203,-82.56,-1.945,2.553,A
78.763,78.93,77.903,78.596,11.275,66.028,-943.844,-1.104,2.739,A
78.162,76.161,76.675,78.594,24.478,67.306,-353.536,-0.174,1.561,A
76.603,75.209,75.646,75.207,32.621,66.377,-620.548,0.958,-2.857,A
76.035,77.924,77.945,77.22,18.483,68.565,-715.869,0.962,-0.545,A
